site id, b'700038594c', b'700171390', b'700173627'
average pi, 0.011945574284468236, 0.007108875013736068, 0.011409315692693838
num_sites, 15223, 308931, 2933
aggregate_across_pi, 0.030562619064032133, 0.030562619064032133, 0.030562619064032133
distributed_across_pi, 0.02877880928447328, 0.02877880928447328, 0.02877880928447328
