site id, SRR7658579, SRR7658599, SRR7658659, SRR8784358, SRR8784388, SRR7658660, SRR7658673, SRR7658676, SRR7658604, SRR7658642, SRR7658581, SRR8784372, SRR7658623, SRR7658644, SRR7658608, SRR7658654, SRR7658638, SRR7658655, SRR8784355, SRR8784383, SRR8784397, SRR7658584, SRR8784384, SRR7658586, SRR7658588, SRR8784366
average pi, 0.006827003849464636, 0.013616958080545673, 0.0111390878403962, 0.011623513761620985, 0.009342728984302556, 0.0027908762157871875, 0.016441907195580904, 0.0017899271901242165, 0.013745372977055486, 0.005617584410655161, 0.011305853142516727, 0.0015984328395021355, 0.014676904733449654, 0.014556922088461531, 0.008072300126000635, 0.010008120746103947, 0.008273663793992565, 0.0019359772276960408, 0.00070422731286596, 0.014370355131256061, 0.008522024671952788, 0.012109289490577229, 0.012604875642999515, 0.008908038455447208, 0.011118808409732173, 0.009251497180337593
num_sites, 733657, 35259, 95310, 106814, 55988, 919096, 69679, 721845, 75361, 552149, 481240, 1413281, 91500, 38851, 29275, 160227, 447004, 714695, 2071116, 29358, 163815, 26669, 53203, 1142815, 89835, 75816
