subject_id,SRS
765519544,SRS147334_SRS147355
765539774,SRS019698
765539774,SRS104089
765539774,SRS144646_SRS144669
765560005,SRS019391
765620695,SRS019587
765620695,SRS147933
765640925,SRS057182
765661155,SRS019794
765701615,SRS050628
765701615,SRS144542
797461496,SRS893174
797461496,SRS893233
809362576,SRS063801
809635352,SRS022532
809635352,SRS065431
823052294,SRS043807_SRS048719
823052294,SRS105070_SRS105091
823052294,SRS143832_SRS143851
857980665,SRS142936_SRS142968
861967750,SRS045254
863126187,SRS149488
863126187,SRS146721_SRS146741
866653606,SRS1041182
866653606,SRS1055072
868454789,SRS077443
868454789,SRS143680
868454789,SRS147049
875002022,SRS063492
875002022,SRS148516
884419868,SRS075989
884419868,SRS142547
884419868,SRS148822
884797910,SRS097968
884797910,SRS144302
884797910,SRS144703
886389417,SRS893354
932979671,SRS893257
932979671,SRS1055061
953045535,SRS143509
991168867,SRS076766
993302508,SRS076870
