site id, SRR7658619, SRR7658581, SRR7658623, SRR7658595, SRR7658637, SRR8784397, SRR7658586
average pi, 0.0111740283414, 0.0134820270668, 0.0127158506264, 0.00906047479971, 0.0119744244291, 0.00686997058806, 0.00959885256637
num_sites, 52114, 47330, 75125, 58891, 22861, 169314, 71608
aggregate_across_pi, 0.0278124921704, 0.0278124921704, 0.0278124921704, 0.0278124921704, 0.0278124921704, 0.0278124921704, 0.0278124921704
distributed_across_pi, 0.0290885860056, 0.0290885860056, 0.0290885860056, 0.0290885860056, 0.0290885860056, 0.0290885860056, 0.0290885860056
