site id, 700021261, 700034254, 700038072c, 700106876c, 700117828c, 700163868c, 700171190
average pi, 0.00566314232494, 0.0045868822191, 0.00165186201773, 0.00684038310858, 0.00190120485956, 0.00484454762392, 0.00389094891232
num_sites, 11583, 16278, 2453534, 9716, 107991, 22019, 2531797
aggregate_across_pi, 0.0248221746714, 0.0248221746714, 0.0248221746714, 0.0248221746714, 0.0248221746714, 0.0248221746714, 0.0248221746714
distributed_across_pi, 0.0242597072506, 0.0242597072506, 0.0242597072506, 0.0242597072506, 0.0242597072506, 0.0242597072506, 0.0242597072506
