site id, 700013715, 700015702, 700016716c, 700021261, 700021306c, 700021361, 700023113, 700023390, 700023720c, 700023872c, 700024086c, 700024449c, 700032222c, 700034254, 700037042c, 700037123c, 700037539c, 700038072c, 700038702, 700038806c, 700095647, 700098267, 700100022, 700102432, 700103652c, 700105049, 700107398c, 700108095c, 700109383, 700111296c, 700114125, 700116568c, 700116778c, 700117000, 700117755, 700117766, 700117828c, 700119042c, 700123562, 700161219, 700161945, 700163699, 700163868c, 700164611, 700164735, 700165148, 700165263c, 700165634, 700171679, 700171727c, 700171859, 700171916c, 700172346, 700172393, 700172498c, 700172813, 700172870, 700175181
average pi, 0.00179644309217, 0.00576438583156, 0.00852817484077, 0.00162311535762, 0.00762442768733, 0.00790550731675, 0.0086332021087, 0.0123826418638, 0.00966566414613, 0.00528574760755, 0.00874850964049, 0.00516329225624, 0.00521193457513, 0.00317816600072, 0.0078309215625, 0.00658718836851, 0.00790238588752, 0.00352202025693, 0.0113718111025, 0.00689584738337, 0.0106912822108, 0.00608479958605, 0.00836561690011, 0.00346482695026, 0.00550705978475, 0.0055391404044, 0.00505478828236, 0.00344164037724, 0.000900063454151, 0.0108047890503, 0.00682384621923, 0.006114048894, 0.00747861356337, 0.00511089577741, 0.00580225103644, 0.00354268874676, 0.00223090320776, 0.00522778820755, 0.00467829161759, 0.00626309745035, 0.0086105809496, 0.00547268289861, 0.0082132899726, 0.00705213030551, 0.00593452812396, 0.00459832915726, 0.00447828376143, 0.00656855377885, 0.0105344292781, 0.00718237805271, 0.00970752564473, 0.0069828810144, 0.00359573952336, 0.00577123021486, 0.00505618103423, 0.00733751744677, 0.0074990387726, 0.00649151257356
num_sites, 2629311, 1013571, 63088, 2982841, 87131, 131516, 58363, 38643, 82744, 2639561, 149481, 68886, 1893237, 2678497, 15117, 46306, 151118, 2807114, 53463, 84715, 57763, 101332, 54108, 25413, 78203, 2674667, 93430, 2781484, 1723803, 104556, 137412, 53249, 55264, 83359, 76552, 64286, 2836082, 1257333, 135337, 43412, 110814, 76850, 77962, 64786, 65912, 43870, 2569466, 59467, 9343, 22617, 84757, 90757, 21798, 335044, 305850, 2918181, 70706, 118973
across_species_pi, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05, 7.21057418508e-05
