site id, b'SRR8180446', b'SRR8784358', b'SRR8784368', b'SRR8784388', b'SRR7658613', b'SRR7658630', b'SRR8784369', b'SRR8784386', b'SRR8784379', b'SRR8180447', b'SRR8784390', b'SRR8784370', b'SRR7658621', b'SRR7658580', b'SRR8784391', b'SRR8784371', b'SRR8180448', b'SRR8784380', b'SRR8784372', b'SRR7658606', b'SRR8180449', b'SRR8784381', b'SRR7658582', b'SRR8784360', b'SRR8784382', b'SRR8784393', b'SRR8784353', b'SRR7658637', b'SRR8784374', b'SRR8784355', b'SRR8784395', b'SRR7658656', b'SRR8784356', b'SRR8784383', b'SRR8784396', b'SRR8784397', b'SRR8784376', b'SRR7658584', b'SRR8784362', b'SRR8784377', b'SRR8784363', b'SRR8784364', b'SRR7658586', b'SRR7658588', b'SRR8784387', b'SRR8784367'
average pi, 0.019563323606524078, 0.013204984326065013, 0.01702452948138202, 0.01263571956367523, 0.011235532726101517, 0.008116396527006568, 0.010514615274048181, 0.018516310927202816, 0.014959692379768684, 0.014430651043871952, 0.011299123650628762, 0.017118500991719514, 0.015249091775228919, 0.009173105117599476, 0.016351535841265714, 0.013967296180419477, 0.01691134287986223, 0.013591595316075884, 0.0025705780831675037, 0.010171580995297727, 0.010002045992810609, 0.01415938023155334, 0.011272398346645663, 0.008299613116882328, 0.01582348159852893, 0.006141533263227642, 0.010981965003727506, 0.020125902615030687, 0.017474871634473477, 0.005304087414133155, 0.016630770524758125, 0.012465814257688891, 0.005557406140202143, 0.015192428085800472, 0.014444933047739621, 0.011485069004178203, 0.017942629561057948, 0.012514646070855616, 0.015643819647238006, 0.013175588033409853, 0.012070549531622553, 0.013197517272940013, 0.012888180306541125, 0.011540975296846051, 0.01723407431307456, 0.0032858928996574643
num_sites, 320176, 403411, 183887, 207411, 28008, 1006796, 408552, 190511, 943912, 307036, 341253, 90840, 60558, 1018306, 31687, 791777, 895296, 1125668, 464246, 21888, 1768529, 25528, 1455364, 1932386, 136949, 591148, 279229, 143928, 403782, 853432, 529546, 106131, 407682, 1352467, 993337, 186096, 312278, 22527, 503569, 1097991, 1748566, 1466733, 145382, 183085, 74386, 580439
aggregate_across_pi, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027, 0.030071670245024027
distributed_across_pi, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001, 0.0336967067320001
