site id, b'SRR7658649', b'SRR7658630', b'SRR7658590', b'SRR7658605', b'SRR7658646', b'SRR7658628'
average pi, 0.0015022106211571877, 0.0041773327315983025, 0.011130244415132795, 0.006246470513884191, 0.0007418800875912542, 0.0002991098194519797
num_sites, 1576235, 1716334, 5821, 6911, 1547061, 991788
aggregate_across_pi, 0.009973103124354454, 0.009973103124354454, 0.009973103124354454, 0.009973103124354454, 0.009973103124354454, 0.009973103124354454
distributed_across_pi, 0.01073853567668704, 0.01073853567668704, 0.01073853567668704, 0.01073853567668704, 0.01073853567668704, 0.01073853567668704
