site id, b'700014837', b'700014954', b'700015181c', b'700015250c', b'700024086c', b'700033989', b'700038414', b'700095287', b'700099803', b'700099886', b'700102586c', b'700108840c', b'700112755', b'700117682', b'700119165', b'700122108c', b'700122165c', b'700165809'
average pi, 0.0038975908869592246, 0.004561107369074971, 0.0020589502772398616, 0.00413463534229592, 0.0029862955805917, 0.002216401188366492, 0.0026604920960074793, 0.004087302421133056, 0.0034558263326409824, 0.0028145796810458987, 0.0032971485396451087, 0.005301681722244038, 0.0029443946520207854, 0.0005551513986787163, 0.002715839627479194, 0.0029772158050550635, 0.003961078268654852, 0.0013556337018873139
num_sites, 75158, 100453, 137712, 100847, 92671, 131541, 94050, 211991, 105030, 39458, 156161, 1872278, 494684, 1432799, 1391254, 188880, 87385, 85789
aggregate_across_pi, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538, 0.018122683441340538
distributed_across_pi, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068, 0.0195408048765068
